category,name,address,city,state,state_short,phone,website,rating,bid,source_url,email
Animal Hospital,Abbie Creek Animal Hospital,526 Ozark Rd,Abbeville,,AL,(334) 575-5240,https://www.abbiecreek.com,4.8,01001002,https://wowvets.com/animal-hospital-near-me/abbeville-al,info@abbiecreek.com
Animal Hospital,Arnold Veterinary Hospital,725 Columbia Rd,Abbeville,,AL,(334) 585-2259,https://www.drrayspetrx.com,4.8,01001001,https://wowvets.com/animal-hospital-near-me/abbeville-al,
Animal Hospital,Bradley-Southside Vet Hospital,115 Perry Dr,Abbeville,,LA,(337) 893-1953,https://www.facebook.com,4.8,18007004,https://wowvets.com/animal-hospital-near-me/abbeville-la,
Animal Hospital,De Ville Veterinary Clinic,3108 Veterans Memorial Dr,Abbeville,,LA,(337) 893-1798,,4.8,18007001,https://wowvets.com/animal-hospital-near-me/abbeville-la,
Animal Hospital,Thibodeaux Animal Hospital,2239 Charity St,Abbeville,,LA,(337) 893-0187,https://www.thibodeauxanimalhospital.com,4.8,18007002,https://wowvets.com/animal-hospital-near-me/abbeville-la,tahpets1989@gmail.com
Animal Hospital,Animal Care Center,484 SC-71,Abbeville,,SC,(864) 446-8500,https://www.critterfixer.org,4.8,40016002,https://wowvets.com/animal-hospital-near-me/abbeville-sc,
Animal Hospital,Aberdeen Veterinary Clinic,728 S Philadelphia Blvd,Aberdeen,,MD,(410) 272-0655,https://www.aberdeenveterinaryclinic.com,4.8,20012001,https://wowvets.com/animal-hospital-near-me/aberdeen-md,aberdeenvetstaff@gmail.com
Animal Hospital,Aberdeen Proving Ground Veterinary Treatment Facility,2479 Oakington St,Aberdeen Proving Ground,,MD,(410) 278-4604,https://www.phc.amedd.army.mil,4.8,20014001,https://wowvets.com/animal-hospital-near-me/aberdeen-proving-ground-md,
Animal Hospital,Tim's Veterinary Service,38339 134th St,Aberdeen,,SD,(605) 226-8895,https://www.timsveterinaryservice.com,4.8,41014006,https://wowvets.com/animal-hospital-near-me/aberdeen-sd,ts112569@nrctv.com
Animal Hospital,Hill Veterinary Services,102 16th St,Abernathy,,TX,(806) 298-2123,,4.8,43031001,https://wowvets.com/animal-hospital-near-me/abernathy-tx,
Animal Hospital,Abilene Animal Hospital,950 N Judge Ely Blvd,Abilene,,TX,(325) 672-4744,https://www.abileneanimalhospital.co,4.8,43033005,https://wowvets.com/animal-hospital-near-me/abilene-tx,jdedvm50@gmail.com
Animal Hospital,Big Country Veterinary Clinic,2426 Industrial Blvd,Abilene,,TX,(325) 692-2625,https://www.bigcountryvet.net,4.8,43033011,https://wowvets.com/animal-hospital-near-me/abilene-tx,
Animal Hospital,Buffalo Gap Road Animal Clinic,4522 Buffalo Gap Rd,Abilene,,TX,(325) 793-1011,https://www.animalhospitalabilene.com,4.8,43033017,https://wowvets.com/animal-hospital-near-me/abilene-tx,
Animal Hospital,Dearing Veterinary Clinic,1133 FM 89,Abilene,,TX,(325) 698-3090,https://www.dearingvet.com,4.8,43033013,https://wowvets.com/animal-hospital-near-me/abilene-tx,dearingvet@gmail.com
Animal Hospital,Emergency Veterinary Clinic,909 Industrial Blvd,Abilene,,TX,(325) 691-1504,https://www.emergencyvetabilene.com,4.8,43033007,https://wowvets.com/animal-hospital-near-me/abilene-tx,abileneevc@gmail.com
Animal Hospital,Judge Ely Animal Hospital,1126 Tracy Lynn St,Abilene,,TX,(325) 672-1666,https://www.judgeelyanimalhospital.com,4.8,43033003,https://wowvets.com/animal-hospital-near-me/abilene-tx,
Animal Hospital,Chadwell Animal Hospital,3004 Emmorton Rd,Abingdon,,MD,(443) 512-8338,https://www.chadwellanimalhospital.com,4.8,20016001,https://wowvets.com/animal-hospital-near-me/abingdon-md,info@chadwellanimalhospital.com
Animal Hospital,VCA Highlands Animal Hospital,25011 Lee Hwy,Abingdon,,VA,(276) 628-4115,https://www.vcahospitals.com,4.8,46033005,https://wowvets.com/animal-hospital-near-me/abingdon-va,mediarelations@vca.com
Animal Hospital,Abington Animal Hospital,19 Randolph St,Abington,,MA,(781) 982-0606,,4.8,21007001,https://wowvets.com/animal-hospital-near-me/abington-ma,
Animal Hospital,Hamilton Animal Hospital,1526 Easton Rd,Abington,,PA,(215) 659-3611,https://www.hamiltonah.com,4.8,38057001,https://wowvets.com/animal-hospital-near-me/abington-pa,hello@hamiltonah.com
Animal Hospital,Tri Star Equine Veterinary Services,24860 N Tully Rd,Acampo,,CA,(209) 367-1160,https://www.tristarvetservices.wixsite.com,4.8,05340001,https://wowvets.com/animal-hospital-near-me/acampo-ca,
Animal Hospital,Atlantic Animal Hospital,23327 Lankford Hwy,Accomac,,VA,(757) 302-0345,https://www.atlanticanimalhospital.info,4.8,46034002,https://wowvets.com/animal-hospital-near-me/accomac-va,
Animal Hospital,East Bay Animal Hospital,5415 US-31 N,Acme,,MI,(231) 938-8098,https://www.eastbayvets.com,4.8,22003001,https://wowvets.com/animal-hospital-near-me/acme-mi,
Animal Hospital,Ark All Animal Cremation,3419 Soledad Canyon Rd,Acton,,CA,(661) 273-0909,,4.8,05042002,https://wowvets.com/animal-hospital-near-me/acton-ca,
Animal Hospital,Acton Animal Hospital,363 Main St,Acton,,MA,(978) 263-7477,https://www.actonanimalhospital.com,4.8,21016004,https://wowvets.com/animal-hospital-near-me/acton-ma,actonanimalhospital@comcast.net
Animal Hospital,Great Road Veterinary Hospital,272 Great Rd,Acton,,MA,(978) 263-0553,https://www.greatroadvet.com,4.8,21016001,https://wowvets.com/animal-hospital-near-me/acton-ma,
Animal Hospital,Sager Animal Hospital Inc,4 Strawberry Hill Rd,Acton,,MA,(978) 263-3535,https://www.sageranimalhospital.com,4.8,21016003,https://wowvets.com/animal-hospital-near-me/acton-ma,
Animal Hospital,Acton Veterinary Clinic,470 Youngs Ridge Rd,Acton,,ME,(207) 477-8144,https://www.actonvet.net,4.8,19002001,https://wowvets.com/animal-hospital-near-me/acton-me,support@evetsites.com
Animal Hospital,Acushnet Animal Hospital Inc,265 Main St,Acushnet,,MA,(508) 998-3004,,4.8,21019001,https://wowvets.com/animal-hospital-near-me/acushnet-ma,
Animal Hospital,Acworth Animal Hospital,4310 Toccoa Dr,Acworth,,GA,(770) 974-2221,https://www.theacworthanimalhospital.com,4.8,10017003,https://wowvets.com/animal-hospital-near-me/acworth-ga,info@acworthanimalhospital.com
Animal Hospital,Bells Ferry Veterinary Hospital,6410 GA-92,Acworth,,GA,(770) 926-5311,https://www.bfvh.com,4.8,10017007,https://wowvets.com/animal-hospital-near-me/acworth-ga,
Animal Hospital,Cedarcrest Animal Hospital,2355 Cedarcrest Rd,Acworth,,GA,(770) 544-0580,https://www.cedarcrestah.com,4.8,10017004,https://wowvets.com/animal-hospital-near-me/acworth-ga,clientservice@cedarcrestah.com
Animal Hospital,Lake City Animal Hospital,3671 Cobb Pkwy NW,Acworth,,GA,(770) 974-3536,https://www.thelakecityanimalhospital.com,4.8,10017001,https://wowvets.com/animal-hospital-near-me/acworth-ga,info@lakecityanimalvet.com
Animal Hospital,Ada Hospital for Animals,1770 Grand River Dr NE,Ada,,MI,(616) 942-7387,https://www.adaanimals.com,4.8,22005002,https://wowvets.com/animal-hospital-near-me/ada-mi,
Animal Hospital,The Animal House,9599 Fulton St,Ada,,MI,(616) 897-7877,https://www.the-animalhouse.com,4.8,22005004,https://wowvets.com/animal-hospital-near-me/ada-mi,
Animal Hospital,Metz Petz Veterinary Clinic,0180 OH-309,Ada,,OH,(419) 634-9663,https://www.metzpetz.net,4.8,35032002,https://wowvets.com/animal-hospital-near-me/ada-oh,metzpetzshawnee@metzpetz.net
Animal Hospital,Addison Animal Hospital LTD,951 W Lake St,Addison,,IL,(630) 543-9500,https://www.addisonvet.net,4.8,13008001,https://wowvets.com/animal-hospital-near-me/addison-il,
Animal Hospital,Big Valley Veterinary Clinic,220 CA-299,Adin,,CA,(530) 299-3121,https://www.modocvetcenter.com,4.8,05048001,https://wowvets.com/animal-hospital-near-me/adin-ca,
Animal Hospital,County Line Animal Hospital,18174 US-87,Adkins,,TX,(830) 253-1041,https://www.countylineanimalhosp.com,4.8,43040001,https://wowvets.com/animal-hospital-near-me/adkins-tx,
Animal Hospital,Sayers Animal Hospital,10180 US-87 E,Adkins,,TX,(210) 649-1581,https://www.sayersanimalhospital.net,4.8,43040002,https://wowvets.com/animal-hospital-near-me/adkins-tx,
Animal Hospital,Adrian Animal Clinic,1898 W Maumee St,Adrian,,MI,(517) 265-8975,https://www.adriananimalclinic.com,4.8,22010001,https://wowvets.com/animal-hospital-near-me/adrian-mi,pets@adriananimalclinic.com
Animal Hospital,Adrian Veterinary Medical Center,311 Maine Ave,Adrian,,MN,(507) 483-2200,https://www.vmcclinic.com,4.8,23010001,https://wowvets.com/animal-hospital-near-me/adrian-mn,
Animal Hospital,Rocky Top Veterinary Hospital,5415 E Andrew Johnson Hwy E,Afton,,TN,(423) 525-5699,https://www.rockytopvets.com,4.8,42037002,https://wowvets.com/animal-hospital-near-me/afton-tn,
Animal Hospital,Agawam Animal Hospital,65 Mill St # 1,Agawam,,MA,(413) 786-4440,https://www.agawamanimalhospital.com,4.8,21024002,https://wowvets.com/animal-hospital-near-me/agawam-ma,frontdesk@agawamanimalhospital.com
Animal Hospital,Agoura Hills Animal Hospital,5605 Kanan Rd,Agoura Hills,,CA,(818) 991-2424,https://www.agouravet.com,4.8,05016004,https://wowvets.com/animal-hospital-near-me/agoura-hills-ca,
Animal Hospital,Capper Bradford H DVM,28282 Dorothy Dr,Agoura Hills,,CA,(818) 991-1036,https://www.agourahillsvets.com,4.8,05016006,https://wowvets.com/animal-hospital-near-me/agoura-hills-ca,
Animal Hospital,Leeward Pet Clinic,98-1277 Kaahumanu St # 141V,Aiea,,HI,(808) 484-4460,,4.8,11001004,https://wowvets.com/animal-hospital-near-me/aiea-hi,
Animal Hospital,Aiken Animal Hospital,1181 Banks Mill Rd SE,Aiken,,SC,(803) 648-4401,https://www.aikenanimalhospital.com,4.8,40004005,https://wowvets.com/animal-hospital-near-me/aiken-sc,aikenah@gmail.com
Animal Hospital,Hollow Creek Animal Hospital,126 Dominion Dr #1060,Aiken,,SC,(803) 226-0551,https://www.hollowcreekvet.com,4.8,40004014,https://wowvets.com/animal-hospital-near-me/aiken-sc,
Animal Hospital,Akron Animal Hospital,12638 Main St,Akron,,NY,(716) 542-2208,https://www.akronanimalhospital.com,4.8,32043001,https://wowvets.com/animal-hospital-near-me/akron-ny,akronanimalhospital@gmail.com
Animal Hospital,Akron Animal Clinic,1635 Copley Rd,Akron,,OH,(330) 836-0437,https://www.akronanimalclinicllc.com,4.8,35001006,https://wowvets.com/animal-hospital-near-me/akron-oh,staff@akronanimalclinicllc.com
Animal Hospital,Bath Veterinary Clinic,1735 N Cleveland Massillon Rd,Akron,,OH,(330) 666-0018,https://www.bathvetclinic.com,4.8,35001021,https://wowvets.com/animal-hospital-near-me/akron-oh,bathvet@bathvetclinic.com
Animal Hospital,Buckeye Veterinary Clinic,3592 Manchester Rd,Akron,,OH,(330) 644-4700,https://www.buckeyevetclinic.com,4.8,35001005,https://wowvets.com/animal-hospital-near-me/akron-oh,contact@buckeyevetclinic.com
Animal Hospital,North Hill Veterinary Hospital,490 E Cuyahoga Falls Ave,Akron,,OH,(330) 928-6514,https://www.northhillvet.com,4.8,35001011,https://wowvets.com/animal-hospital-near-me/akron-oh,
Animal Hospital,Alabaster Animal Clinic,1378 1st St N,Alabaster,,AL,(205) 663-6530,https://www.homestead.com,4.8,01012002,https://wowvets.com/animal-hospital-near-me/alabaster-al,
Animal Hospital,Weatherly Animal Hospital,91 Weatherly Club Dr,Alabaster,,AL,(205) 621-5755,https://www.weatherlyvets.com,4.8,01012003,https://wowvets.com/animal-hospital-near-me/alabaster-al,
Animal Hospital,Hilltop Animal Hospital,16402 US-441,Alachua,,FL,(386) 462-3822,https://www.hilltop-animal.com,4.8,09001002,https://wowvets.com/animal-hospital-near-me/alachua-fl,
Animal Hospital,Alameda Pet Hospital,2275 Buena Vista Ave,Alameda,,CA,(510) 523-1626,https://www.alamedapet.com,4.8,05005004,https://wowvets.com/animal-hospital-near-me/alameda-ca,
Animal Hospital,Alamo Animal Hospital,3176 Danville Blvd STE 3,Alamo,,CA,(925) 837-7246,https://www.alamovet.net,4.8,05060004,https://wowvets.com/animal-hospital-near-me/alamo-ca,
Animal Hospital,Veterinary Medical Clinic,1810 E 10th St,Alamogordo,,NM,(575) 437-3063,https://www.veterinarymedicalclinic.org,4.8,31009005,https://wowvets.com/animal-hospital-near-me/alamogordo-nm,
Animal Hospital,VCA Albany Animal Hospital,1550 Solano Ave,Albany,,CA,(510) 526-2053,https://www.vcahospitals.com,4.8,05061005,https://wowvets.com/animal-hospital-near-me/albany-ca,
Animal Hospital,Bush Animal Clinic,2419 Dawson Rd #2313,Albany,,GA,(229) 439-7073,https://www.bushanimalclinic.com,4.8,10031008,https://wowvets.com/animal-hospital-near-me/albany-ga,
Animal Hospital,Companion Animal Hospital,810 N Slappey Blvd,Albany,,GA,(229) 888-7181,https://www.companionaha.com,4.8,10031002,https://wowvets.com/animal-hospital-near-me/albany-ga,
Animal Hospital,Albany County Veterinary Hospital,1506 Western Ave,Albany,,NY,(518) 456-6333,https://www.albanycountyvet.com,4.8,32048005,https://wowvets.com/animal-hospital-near-me/albany-ny,
Animal Hospital,Central Veterinary Hospital,388 Central Ave,Albany,,NY,(518) 434-2115,https://www.centralvetalbany.com,4.8,32048001,https://wowvets.com/animal-hospital-near-me/albany-ny,info@centralvetalbany.com
Animal Hospital,Colonie Animal Hospital,1946 Central Ave,Albany,,NY,(518) 456-1613,https://www.colonieanimalhospital.com,4.8,32048007,https://wowvets.com/animal-hospital-near-me/albany-ny,
Animal Hospital,Linn Veterinary Hospital,6011 Pacific Blvd SW,Albany,,OR,(541) 926-0291,https://www.oregonvma.org,4.8,37016003,https://wowvets.com/animal-hospital-near-me/albany-or,
Animal Hospital,Periwinkle Pet Clinic,1590 SE 9th Ave,Albany,,OR,(541) 967-8384,https://www.business.site,4.8,37016004,https://wowvets.com/animal-hospital-near-me/albany-or,
